timestamp,rating_numerator,rating_denominator,name,stage,breed,favorite_count,retweet_count
2017-04-18 16:05:17,13,10,Einstein,,Pembroke,19056.0,4792.0
2017-04-17 23:52:16,14,10,,pupper,black-and-tan_coonhound,,
2017-04-17 16:34:26,11,10,,floofer,English_springer,16336.0,3224.0
2017-04-17 00:03:50,12,10,Alice,,miniature_pinscher,,
2017-04-16 16:00:07,13,10,,,German_shepherd,35203.0,10399.0
2017-04-14 15:51:39,12,10,Benny,,Great_Dane,9175.0,1888.0
2017-04-13 23:59:28,12,10,Aspen,,golden_retriever,15127.0,2215.0
2017-04-13 16:05:56,13,10,Jarod,,bloodhound,,
2017-04-11 00:24:08,11,10,,,Cardigan,16483.0,3579.0
2017-04-08 16:54:09,11,10,Kyle,,pug,,
2017-04-07 16:10:12,13,10,Leo,,Yorkshire_terrier,13312.0,2710.0
2017-04-06 16:18:05,12,10,Boomer,pupper,Shetland_sheepdog,20848.0,5063.0
2017-04-06 00:13:11,12,10,,,Chihuahua,,
2017-04-05 00:04:08,12,10,Noosh,,schipperke,16208.0,3259.0
2017-04-03 00:16:10,12,10,,,flat-coated_retriever,25758.0,4481.0
2017-04-02 00:03:26,12,10,Odin,,malamute,25316.0,4775.0
2017-04-01 16:35:01,6,10,Jerry,,Bedlington_terrier,16696.0,3186.0
2017-03-31 00:27:14,12,10,Cannon,,Cardigan,,
2017-03-30 00:56:03,12,10,Furzey,,Airedale,20970.0,4468.0
2017-03-29 18:43:12,11,10,Daisy,,Staffordshire_bullterrier,,
2017-03-29 00:01:05,13,10,Tuck,,Shetland_sheepdog,,
2017-03-28 00:07:32,13,10,Barney,doggo,golden_retriever,,
2017-03-27 00:15:53,13,10,Vixen,,giant_schnauzer,32537.0,9474.0
2017-03-26 16:55:29,12,10,Jarvis,,golden_retriever,,
2017-03-26 01:38:00,13,10,,,Samoyed,,
2017-03-25 16:45:08,12,10,,,chow,,
2017-03-24 16:10:40,12,10,Pickles,pupper,Irish_water_spaniel,23991.0,5635.0
2017-03-23 18:07:10,12,10,Brady,,Labrador_retriever,15536.0,3362.0
2017-03-23 00:18:10,13,10,Luna,,Labrador_retriever,,
2017-03-21 16:26:50,12,10,Margo,,Labrador_retriever,14025.0,2302.0
2017-03-20 16:08:44,12,10,,,Labrador_retriever,,
2017-03-19 23:25:35,11,10,Hank,,Labrador_retriever,17388.0,2889.0
2017-03-18 22:59:54,13,10,Tycho,,Pembroke,,
2017-03-17 21:13:10,13,10,Charlie,,Labrador_retriever,15691.0,3785.0
2017-03-17 00:38:32,13,10,Winnie,,Pembroke,18652.0,3682.0
2017-03-16 00:00:07,12,10,George,,French_bulldog,25231.0,6093.0
2017-03-15 20:48:07,12,10,Bentley,,chow,,
2017-03-14 16:01:03,12,10,Penny,,Chihuahua,,
2017-03-13 15:47:01,13,10,Max,,Afghan_hound,,
2017-03-13 00:02:39,12,10,Dawn,,Brittany_spaniel,23625.0,5573.0
2017-03-11 18:35:42,12,10,,,golden_retriever,,
2017-03-10 18:27:58,12,10,Monty,,Chesapeake_Bay_retriever,19909.0,6033.0
2017-03-10 00:04:21,13,10,Sojourner,,Staffordshire_bullterrier,13868.0,2413.0
2017-03-07 22:22:32,13,10,Odie,,Leonberg,,
2017-03-07 01:17:48,13,10,Arlo,,Border_terrier,,
2017-03-06 01:26:54,13,10,Walter,,kelpie,,
2017-03-05 19:48:43,13,10,Stanley,,Great_Pyrenees,,
